,index,X
403,"(0, 50, 4)",0.0
404,"(0, 50, 5)",0.0
405,"(0, 50, 6)",0.0
406,"(0, 50, 7)",0.0
407,"(0, 50, 8)",0.0
408,"(0, 51, 1)",0.0
409,"(0, 51, 2)",0.0
410,"(0, 51, 3)",0.0
411,"(0, 51, 4)",0.0
412,"(0, 51, 5)",0.0
413,"(0, 51, 6)",0.0
414,"(0, 51, 7)",0.0
415,"(0, 51, 8)",0.0
416,"(0, 52, 1)",0.0
417,"(0, 52, 2)",0.0
418,"(0, 52, 3)",0.0
419,"(0, 52, 4)",0.0
420,"(0, 52, 5)",0.0
421,"(0, 52, 6)",0.0
422,"(0, 52, 7)",0.0
423,"(0, 52, 8)",0.0
424,"(0, 53, 1)",0.0
425,"(0, 53, 2)",0.0
426,"(0, 53, 3)",0.0
427,"(0, 53, 4)",0.0
428,"(0, 53, 5)",0.0
429,"(0, 53, 6)",0.0
430,"(0, 53, 7)",0.0
431,"(0, 53, 8)",0.0
432,"(0, 54, 1)",0.0
433,"(0, 54, 2)",0.0
434,"(0, 54, 3)",0.0
435,"(0, 54, 4)",0.0
436,"(0, 54, 5)",0.0
437,"(0, 54, 6)",0.0
438,"(0, 54, 7)",0.0
439,"(0, 54, 8)",0.0
440,"(0, 55, 1)",0.0
441,"(0, 55, 2)",0.0
442,"(0, 55, 3)",0.0
443,"(0, 55, 4)",0.0
444,"(0, 55, 5)",0.0
445,"(0, 55, 6)",0.0
446,"(0, 55, 7)",0.0
447,"(0, 55, 8)",0.0
448,"(0, 56, 1)",0.0
449,"(0, 56, 2)",0.0
450,"(0, 56, 3)",0.0
451,"(0, 56, 4)",0.0
452,"(0, 56, 5)",0.0
453,"(0, 56, 6)",0.0
454,"(0, 56, 7)",0.0
455,"(0, 56, 8)",0.0
456,"(0, 57, 1)",0.0
457,"(0, 57, 2)",0.0
458,"(0, 57, 3)",0.0
459,"(0, 57, 4)",0.0
460,"(0, 57, 5)",0.0
461,"(0, 57, 6)",0.0
462,"(0, 57, 7)",0.0
463,"(0, 57, 8)",0.0
464,"(0, 58, 1)",0.0
465,"(0, 58, 2)",0.0
466,"(0, 58, 3)",0.0
467,"(0, 58, 4)",0.0
468,"(0, 58, 5)",0.0
469,"(0, 58, 6)",0.0
470,"(0, 58, 7)",0.0
471,"(0, 58, 8)",0.0
472,"(0, 59, 1)",0.0
473,"(0, 59, 2)",0.0
474,"(0, 59, 3)",0.0
475,"(0, 59, 4)",0.0
476,"(0, 59, 5)",0.0
477,"(0, 59, 6)",0.0
478,"(0, 59, 7)",0.0
479,"(0, 59, 8)",0.0
480,"(0, 60, 1)",0.0
481,"(0, 60, 2)",0.0
482,"(0, 60, 3)",0.0
483,"(0, 60, 4)",0.0
484,"(0, 60, 5)",0.0
485,"(0, 60, 6)",0.0
486,"(0, 60, 7)",0.0
487,"(0, 60, 8)",0.0
488,"(0, 61, 1)",0.0
489,"(0, 61, 2)",0.0
490,"(0, 61, 3)",0.0
491,"(0, 61, 4)",0.0
492,"(0, 61, 5)",0.0
493,"(0, 61, 6)",0.0
494,"(0, 61, 7)",0.0
495,"(0, 61, 8)",0.0
496,"(0, 62, 1)",0.0
497,"(0, 62, 2)",0.0
498,"(0, 62, 3)",0.0
499,"(0, 62, 4)",0.0
500,"(0, 62, 5)",0.0
501,"(0, 62, 6)",0.0
502,"(0, 62, 7)",0.0
503,"(0, 62, 8)",0.0
504,"(0, 63, 1)",0.0
505,"(0, 63, 2)",0.0
506,"(0, 63, 3)",0.0
507,"(0, 63, 4)",0.0
508,"(0, 63, 5)",0.0
509,"(0, 63, 6)",0.0
510,"(0, 63, 7)",0.0
511,"(0, 63, 8)",0.0
512,"(0, 64, 1)",0.0
513,"(0, 64, 2)",0.0
514,"(0, 64, 3)",0.0
515,"(0, 64, 4)",0.0
516,"(0, 64, 5)",0.0
517,"(0, 64, 6)",0.0
518,"(0, 64, 7)",0.0
519,"(0, 64, 8)",0.0
520,"(0, 65, 1)",0.0
521,"(0, 65, 2)",0.0
522,"(0, 65, 3)",0.0
523,"(0, 65, 4)",0.0
524,"(0, 65, 5)",0.0
525,"(0, 65, 6)",0.0
526,"(0, 65, 7)",0.0
527,"(0, 65, 8)",0.0
528,"(0, 66, 1)",0.0
529,"(0, 66, 2)",0.0
530,"(0, 66, 3)",0.0
