,index,X
347,"(43, 4)",0.0
348,"(43, 5)",0.0
349,"(43, 6)",0.0
350,"(43, 7)",0.0
351,"(43, 8)",0.0
352,"(44, 1)",1.0
353,"(44, 2)",1.0
354,"(44, 3)",1.0
355,"(44, 4)",0.0
356,"(44, 5)",0.0
357,"(44, 6)",0.0
358,"(44, 7)",0.0
359,"(44, 8)",0.0
360,"(45, 1)",1.0
361,"(45, 2)",1.0
362,"(45, 3)",1.0
363,"(45, 4)",0.0
364,"(45, 5)",0.0
365,"(45, 6)",0.0
366,"(45, 7)",0.0
367,"(45, 8)",0.0
368,"(46, 1)",1.0
369,"(46, 2)",1.0
370,"(46, 3)",1.0
371,"(46, 4)",0.0
372,"(46, 5)",0.0
373,"(46, 6)",0.0
374,"(46, 7)",0.0
375,"(46, 8)",0.0
376,"(47, 1)",1.0
377,"(47, 2)",1.0
378,"(47, 3)",1.0
379,"(47, 4)",0.0
380,"(47, 5)",0.0
381,"(47, 6)",0.0
382,"(47, 7)",0.0
383,"(47, 8)",0.0
384,"(48, 1)",1.0
385,"(48, 2)",1.0
386,"(48, 3)",1.0
387,"(48, 4)",0.0
388,"(48, 5)",0.0
389,"(48, 6)",0.0
390,"(48, 7)",0.0
391,"(48, 8)",0.0
392,"(49, 1)",1.0
393,"(49, 2)",1.0
394,"(49, 3)",1.0
395,"(49, 4)",0.0
396,"(49, 5)",0.0
397,"(49, 6)",0.0
398,"(49, 7)",0.0
399,"(49, 8)",0.0
400,"(50, 1)",1.0
401,"(50, 2)",1.0
402,"(50, 3)",1.0
403,"(50, 4)",0.0
404,"(50, 5)",0.0
405,"(50, 6)",0.0
406,"(50, 7)",0.0
407,"(50, 8)",0.0
408,"(51, 1)",1.0
409,"(51, 2)",1.0
410,"(51, 3)",1.0
411,"(51, 4)",1.0
412,"(51, 5)",0.0
413,"(51, 6)",0.0
414,"(51, 7)",0.0
415,"(51, 8)",0.0
416,"(52, 1)",1.0
417,"(52, 2)",1.0
418,"(52, 3)",1.0
419,"(52, 4)",1.0
420,"(52, 5)",0.0
421,"(52, 6)",0.0
422,"(52, 7)",0.0
423,"(52, 8)",0.0
424,"(53, 1)",1.0
425,"(53, 2)",1.0
426,"(53, 3)",1.0
427,"(53, 4)",1.0
428,"(53, 5)",1.0
429,"(53, 6)",0.0
430,"(53, 7)",0.0
431,"(53, 8)",0.0
432,"(54, 1)",1.0
433,"(54, 2)",1.0
434,"(54, 3)",1.0
435,"(54, 4)",1.0
436,"(54, 5)",0.0
437,"(54, 6)",0.0
438,"(54, 7)",0.0
439,"(54, 8)",0.0
440,"(55, 1)",1.0
441,"(55, 2)",1.0
442,"(55, 3)",1.0
443,"(55, 4)",1.0
444,"(55, 5)",1.0
445,"(55, 6)",0.0
446,"(55, 7)",0.0
447,"(55, 8)",0.0
448,"(56, 1)",1.0
449,"(56, 2)",1.0
450,"(56, 3)",1.0
451,"(56, 4)",1.0
452,"(56, 5)",0.0
453,"(56, 6)",0.0
454,"(56, 7)",0.0
455,"(56, 8)",0.0
456,"(57, 1)",1.0
457,"(57, 2)",1.0
458,"(57, 3)",1.0
459,"(57, 4)",1.0
460,"(57, 5)",0.0
461,"(57, 6)",0.0
462,"(57, 7)",0.0
463,"(57, 8)",0.0
464,"(58, 1)",1.0
465,"(58, 2)",1.0
466,"(58, 3)",1.0
467,"(58, 4)",1.0
468,"(58, 5)",1.0
469,"(58, 6)",0.0
470,"(58, 7)",0.0
471,"(58, 8)",0.0
472,"(59, 1)",1.0
473,"(59, 2)",1.0
474,"(59, 3)",1.0
475,"(59, 4)",1.0
476,"(59, 5)",0.0
477,"(59, 6)",0.0
478,"(59, 7)",0.0
479,"(59, 8)",0.0
480,"(60, 1)",1.0
481,"(60, 2)",1.0
482,"(60, 3)",1.0
483,"(60, 4)",1.0
484,"(60, 5)",0.0
485,"(60, 6)",0.0
486,"(60, 7)",0.0
487,"(60, 8)",0.0
488,"(61, 1)",1.0
489,"(61, 2)",1.0
490,"(61, 3)",1.0
491,"(61, 4)",1.0
492,"(61, 5)",0.0
493,"(61, 6)",0.0
494,"(61, 7)",0.0
495,"(61, 8)",0.0
496,"(62, 1)",1.0
497,"(62, 2)",1.0
498,"(62, 3)",1.0
499,"(62, 4)",1.0
500,"(62, 5)",0.0
501,"(62, 6)",0.0
502,"(62, 7)",0.0
503,"(62, 8)",0.0
504,"(63, 1)",1.0
505,"(63, 2)",1.0
506,"(63, 3)",1.0
507,"(63, 4)",1.0
508,"(63, 5)",0.0
509,"(63, 6)",0.0
510,"(63, 7)",0.0
511,"(63, 8)",0.0
512,"(64, 1)",1.0
513,"(64, 2)",1.0
514,"(64, 3)",1.0
515,"(64, 4)",1.0
516,"(64, 5)",1.0
517,"(64, 6)",0.0
518,"(64, 7)",0.0
519,"(64, 8)",0.0
520,"(65, 1)",1.0
521,"(65, 2)",1.0
522,"(65, 3)",1.0
523,"(65, 4)",1.0
524,"(65, 5)",1.0
525,"(65, 6)",1.0
526,"(65, 7)",0.0
527,"(65, 8)",0.0
528,"(66, 1)",1.0
529,"(66, 2)",1.0
530,"(66, 3)",1.0
531,"(66, 4)",1.0
532,"(66, 5)",1.0
533,"(66, 6)",1.0
534,"(66, 7)",0.0
535,"(66, 8)",0.0
536,"(67, 1)",1.0
537,"(67, 2)",1.0
538,"(67, 3)",1.0
539,"(67, 4)",1.0
540,"(67, 5)",1.0
541,"(67, 6)",1.0
542,"(67, 7)",0.0
543,"(67, 8)",0.0
544,"(68, 1)",1.0
545,"(68, 2)",1.0
546,"(68, 3)",1.0
547,"(68, 4)",1.0
548,"(68, 5)",1.0
549,"(68, 6)",1.0
550,"(68, 7)",0.0
551,"(68, 8)",0.0
552,"(69, 1)",1.0
553,"(69, 2)",1.0
554,"(69, 3)",1.0
555,"(69, 4)",1.0
556,"(69, 5)",1.0
557,"(69, 6)",1.0
558,"(69, 7)",0.0
559,"(69, 8)",0.0
560,"(70, 1)",1.0
561,"(70, 2)",1.0
562,"(70, 3)",1.0
563,"(70, 4)",1.0
564,"(70, 5)",1.0
565,"(70, 6)",1.0
566,"(70, 7)",0.0
567,"(70, 8)",0.0
568,"(71, 1)",1.0
569,"(71, 2)",1.0
570,"(71, 3)",1.0
571,"(71, 4)",1.0
572,"(71, 5)",1.0
573,"(71, 6)",1.0
574,"(71, 7)",0.0
575,"(71, 8)",0.0
576,"(72, 1)",1.0
577,"(72, 2)",1.0
578,"(72, 3)",1.0
579,"(72, 4)",1.0
580,"(72, 5)",1.0
581,"(72, 6)",1.0
582,"(72, 7)",0.0
583,"(72, 8)",0.0
584,"(73, 1)",1.0
585,"(73, 2)",1.0
586,"(73, 3)",1.0
587,"(73, 4)",1.0
588,"(73, 5)",1.0
589,"(73, 6)",1.0
590,"(73, 7)",0.0
591,"(73, 8)",0.0
592,"(74, 1)",1.0
593,"(74, 2)",1.0
594,"(74, 3)",1.0
595,"(74, 4)",1.0
596,"(74, 5)",1.0
597,"(74, 6)",1.0
598,"(74, 7)",0.0
599,"(74, 8)",0.0
600,"(75, 1)",1.0
601,"(75, 2)",1.0
602,"(75, 3)",1.0
603,"(75, 4)",1.0
604,"(75, 5)",1.0
605,"(75, 6)",1.0
606,"(75, 7)",0.0
607,"(75, 8)",0.0
608,"(76, 1)",1.0
609,"(76, 2)",1.0
610,"(76, 3)",1.0
611,"(76, 4)",1.0
612,"(76, 5)",1.0
613,"(76, 6)",1.0
614,"(76, 7)",0.0
615,"(76, 8)",0.0
616,"(77, 1)",1.0
617,"(77, 2)",1.0
618,"(77, 3)",1.0
619,"(77, 4)",1.0
620,"(77, 5)",1.0
621,"(77, 6)",1.0
622,"(77, 7)",0.0
623,"(77, 8)",0.0
624,"(78, 1)",1.0
625,"(78, 2)",1.0
626,"(78, 3)",1.0
627,"(78, 4)",1.0
628,"(78, 5)",1.0
629,"(78, 6)",1.0
630,"(78, 7)",1.0
631,"(78, 8)",0.0
632,"(79, 1)",1.0
633,"(79, 2)",1.0
634,"(79, 3)",1.0
635,"(79, 4)",1.0
636,"(79, 5)",1.0
637,"(79, 6)",1.0
638,"(79, 7)",0.0
639,"(79, 8)",0.0
640,"(80, 1)",1.0
641,"(80, 2)",1.0
642,"(80, 3)",1.0
643,"(80, 4)",1.0
644,"(80, 5)",1.0
645,"(80, 6)",1.0
646,"(80, 7)",0.0
647,"(80, 8)",0.0
648,"(81, 1)",1.0
649,"(81, 2)",1.0
650,"(81, 3)",1.0
651,"(81, 4)",1.0
652,"(81, 5)",1.0
653,"(81, 6)",1.0
654,"(81, 7)",0.0
655,"(81, 8)",0.0
656,"(82, 1)",1.0
657,"(82, 2)",1.0
658,"(82, 3)",1.0
659,"(82, 4)",1.0
660,"(82, 5)",1.0
661,"(82, 6)",1.0
662,"(82, 7)",0.0
663,"(82, 8)",0.0
664,"(83, 1)",1.0
665,"(83, 2)",1.0
666,"(83, 3)",1.0
667,"(83, 4)",1.0
668,"(83, 5)",1.0
669,"(83, 6)",1.0
670,"(83, 7)",0.0
671,"(83, 8)",0.0
672,"(84, 1)",1.0
673,"(84, 2)",1.0
674,"(84, 3)",1.0
675,"(84, 4)",1.0
676,"(84, 5)",1.0
677,"(84, 6)",1.0
678,"(84, 7)",0.0
679,"(84, 8)",0.0
680,"(85, 1)",1.0
681,"(85, 2)",1.0
682,"(85, 3)",1.0
683,"(85, 4)",1.0
684,"(85, 5)",1.0
685,"(85, 6)",1.0
686,"(85, 7)",0.0
687,"(85, 8)",0.0
688,"(86, 1)",1.0
689,"(86, 2)",1.0
690,"(86, 3)",1.0
691,"(86, 4)",1.0
692,"(86, 5)",1.0
693,"(86, 6)",1.0
694,"(86, 7)",0.0
695,"(86, 8)",0.0
696,"(87, 1)",1.0
697,"(87, 2)",1.0
698,"(87, 3)",1.0
699,"(87, 4)",1.0
700,"(87, 5)",1.0
701,"(87, 6)",1.0
702,"(87, 7)",1.0
703,"(87, 8)",0.0
704,"(88, 1)",1.0
705,"(88, 2)",1.0
706,"(88, 3)",1.0
707,"(88, 4)",1.0
708,"(88, 5)",1.0
709,"(88, 6)",1.0
710,"(88, 7)",0.0
711,"(88, 8)",0.0
712,"(89, 1)",1.0
713,"(89, 2)",1.0
714,"(89, 3)",1.0
715,"(89, 4)",1.0
716,"(89, 5)",1.0
717,"(89, 6)",1.0
718,"(89, 7)",0.0
719,"(89, 8)",0.0
720,"(90, 1)",1.0
721,"(90, 2)",1.0
722,"(90, 3)",1.0
723,"(90, 4)",1.0
724,"(90, 5)",1.0
725,"(90, 6)",1.0
726,"(90, 7)",1.0
727,"(90, 8)",0.0
728,"(91, 1)",1.0
729,"(91, 2)",1.0
730,"(91, 3)",1.0
731,"(91, 4)",1.0
732,"(91, 5)",1.0
